STATION,STATION_NAME,YEAR,Month,Flag,AvgOfTPCP,Missing,Consecutive Missing
GHCND:USC00026706,PORTAL AZ US,1937,1,1,305,0,0
GHCND:USC00026706,PORTAL AZ US,1937,2,1,622,0,0
GHCND:USC00026706,PORTAL AZ US,1937,3,1,482,0,0
GHCND:USC00026706,PORTAL AZ US,1937,4,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1937,5,1,83,0,0
GHCND:USC00026706,PORTAL AZ US,1937,6,1,166,0,0
GHCND:USC00026706,PORTAL AZ US,1937,7,1,474,0,0
GHCND:USC00026706,PORTAL AZ US,1937,8,1,358,0,0
GHCND:USC00026706,PORTAL AZ US,1937,9,1,615,0,0
GHCND:USC00026706,PORTAL AZ US,1937,10,1,551,0,0
GHCND:USC00026706,PORTAL AZ US,1937,11,1,13,0,0
GHCND:USC00026706,PORTAL AZ US,1937,12,1,571,0,0
GHCND:USC00026706,PORTAL AZ US,1938,1,1,188,0,0
GHCND:USC00026706,PORTAL AZ US,1938,2,1,277,0,0
GHCND:USC00026706,PORTAL AZ US,1938,3,1,279,0,0
GHCND:USC00026706,PORTAL AZ US,1938,4,1,41,0,0
GHCND:USC00026706,PORTAL AZ US,1938,5,1,3,0,0
GHCND:USC00026706,PORTAL AZ US,1938,6,1,178,0,0
GHCND:USC00026706,PORTAL AZ US,1938,7,1,760,0,0
GHCND:USC00026706,PORTAL AZ US,1938,8,1,479,0,0
GHCND:USC00026706,PORTAL AZ US,1938,9,1,827,0,0
GHCND:USC00026706,PORTAL AZ US,1938,10,1,18,0,0
GHCND:USC00026706,PORTAL AZ US,1938,11,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1938,12,1,668,0,0
GHCND:USC00026706,PORTAL AZ US,1939,1,1,48,0,0
GHCND:USC00026706,PORTAL AZ US,1939,2,1,343,0,0
GHCND:USC00026706,PORTAL AZ US,1939,3,1,98,0,0
GHCND:USC00026706,PORTAL AZ US,1939,4,1,146,0,0
GHCND:USC00026706,PORTAL AZ US,1939,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1939,6,1,69,0,0
GHCND:USC00026706,PORTAL AZ US,1939,7,1,815,0,0
GHCND:USC00026706,PORTAL AZ US,1939,8,1,642,0,0
GHCND:USC00026706,PORTAL AZ US,1939,9,1,333,0,0
GHCND:USC00026706,PORTAL AZ US,1939,10,1,222,0,0
GHCND:USC00026706,PORTAL AZ US,1939,11,1,555,0,0
GHCND:USC00026706,PORTAL AZ US,1939,12,1,351,0,0
GHCND:USC00026706,PORTAL AZ US,1940,1,1,280,0,0
GHCND:USC00026706,PORTAL AZ US,1940,2,1,592,0,0
GHCND:USC00026706,PORTAL AZ US,1940,3,1,89,0,0
GHCND:USC00026706,PORTAL AZ US,1940,4,1,71,0,0
GHCND:USC00026706,PORTAL AZ US,1940,5,1,176,0,0
GHCND:USC00026706,PORTAL AZ US,1940,6,1,352,0,0
GHCND:USC00026706,PORTAL AZ US,1940,7,1,886,0,0
GHCND:USC00026706,PORTAL AZ US,1940,8,1,989,0,0
GHCND:USC00026706,PORTAL AZ US,1940,9,1,997,0,0
GHCND:USC00026706,PORTAL AZ US,1940,10,1,111,0,0
GHCND:USC00026706,PORTAL AZ US,1940,11,1,298,0,0
GHCND:USC00026706,PORTAL AZ US,1940,12,1,518,0,0
GHCND:USC00026706,PORTAL AZ US,1941,1,1,380,0,0
GHCND:USC00026706,PORTAL AZ US,1941,2,1,410,0,0
GHCND:USC00026706,PORTAL AZ US,1941,3,1,555,0,0
GHCND:USC00026706,PORTAL AZ US,1941,4,1,460,0,0
GHCND:USC00026706,PORTAL AZ US,1941,5,1,365,0,0
GHCND:USC00026706,PORTAL AZ US,1941,6,1,112,0,0
GHCND:USC00026706,PORTAL AZ US,1941,7,1,1109,0,0
GHCND:USC00026706,PORTAL AZ US,1941,8,1,1393,0,0
GHCND:USC00026706,PORTAL AZ US,1941,9,1,973,0,0
GHCND:USC00026706,PORTAL AZ US,1941,10,1,236,0,0
GHCND:USC00026706,PORTAL AZ US,1941,11,1,319,0,0
GHCND:USC00026706,PORTAL AZ US,1941,12,1,581,0,0
GHCND:USC00026706,PORTAL AZ US,1942,1,1,143,0,0
GHCND:USC00026706,PORTAL AZ US,1942,2,1,491,0,0
GHCND:USC00026706,PORTAL AZ US,1942,3,1,120,0,0
GHCND:USC00026706,PORTAL AZ US,1942,4,1,221,0,0
GHCND:USC00026706,PORTAL AZ US,1942,5,1,5,0,0
GHCND:USC00026706,PORTAL AZ US,1942,6,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1942,7,1,707,0,0
GHCND:USC00026706,PORTAL AZ US,1942,8,1,2011,0,0
GHCND:USC00026706,PORTAL AZ US,1942,9,1,749,0,0
GHCND:USC00026706,PORTAL AZ US,1942,10,1,527,0,0
GHCND:USC00026706,PORTAL AZ US,1942,11,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1942,12,1,13090,0,0
GHCND:USC00026706,PORTAL AZ US,1944,1,1,153,0,0
GHCND:USC00026706,PORTAL AZ US,1944,2,1,401,0,0
GHCND:USC00026706,PORTAL AZ US,1944,3,1,129,0,0
GHCND:USC00026706,PORTAL AZ US,1944,4,1,23,0,0
GHCND:USC00026706,PORTAL AZ US,1944,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1945,3,1,424,0,0
GHCND:USC00026706,PORTAL AZ US,1945,4,1,16,0,0
GHCND:USC00026706,PORTAL AZ US,1945,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1945,6,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1945,7,1,554,0,0
GHCND:USC00026706,PORTAL AZ US,1945,8,1,808,0,0
GHCND:USC00026706,PORTAL AZ US,1945,9,1,427,0,0
GHCND:USC00026706,PORTAL AZ US,1945,10,1,883,0,0
GHCND:USC00026706,PORTAL AZ US,1945,11,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1945,12,1,31,0,0
GHCND:USC00026706,PORTAL AZ US,1946,1,1,605,0,0
GHCND:USC00026706,PORTAL AZ US,1946,2,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1946,3,1,125,0,0
GHCND:USC00026706,PORTAL AZ US,1946,4,1,395,0,0
GHCND:USC00026706,PORTAL AZ US,1946,5,1,8,0,0
GHCND:USC00026706,PORTAL AZ US,1946,6,1,274,0,0
GHCND:USC00026706,PORTAL AZ US,1946,7,1,742,0,0
GHCND:USC00026706,PORTAL AZ US,1946,8,1,935,0,0
GHCND:USC00026706,PORTAL AZ US,1946,9,1,936,0,0
GHCND:USC00026706,PORTAL AZ US,1946,10,1,84,0,0
GHCND:USC00026706,PORTAL AZ US,1946,11,1,76,0,0
GHCND:USC00026706,PORTAL AZ US,1946,12,1,201,0,0
GHCND:USC00026706,PORTAL AZ US,1947,1,1,338,0,0
GHCND:USC00026706,PORTAL AZ US,1947,2,1,23,0,0
GHCND:USC00026706,PORTAL AZ US,1947,3,1,86,0,0
GHCND:USC00026706,PORTAL AZ US,1947,4,1,36,0,0
GHCND:USC00026706,PORTAL AZ US,1947,5,1,158,0,0
GHCND:USC00026706,PORTAL AZ US,1947,6,1,162,0,0
GHCND:USC00026706,PORTAL AZ US,1947,7,1,421,0,0
GHCND:USC00026706,PORTAL AZ US,1947,8,1,1484,0,0
GHCND:USC00026706,PORTAL AZ US,1947,9,1,221,0,0
GHCND:USC00026706,PORTAL AZ US,1947,10,1,43,0,0
GHCND:USC00026706,PORTAL AZ US,1947,11,1,38,0,0
GHCND:USC00026706,PORTAL AZ US,1947,12,1,142,0,0
GHCND:USC00026706,PORTAL AZ US,1948,1,1,138,0,0
GHCND:USC00026706,PORTAL AZ US,1948,2,1,255,0,0
GHCND:USC00026706,PORTAL AZ US,1948,3,1,73,0,0
GHCND:USC00026706,PORTAL AZ US,1948,4,1,45,0,0
GHCND:USC00026706,PORTAL AZ US,1948,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1948,6,1,122,0,0
GHCND:USC00026706,PORTAL AZ US,1948,7,1,348,0,0
GHCND:USC00026706,PORTAL AZ US,1948,8,1,655,0,0
GHCND:USC00026706,PORTAL AZ US,1948,9,1,238,0,0
GHCND:USC00026706,PORTAL AZ US,1948,10,1,254,0,0
GHCND:USC00026706,PORTAL AZ US,1948,11,1,30,0,0
GHCND:USC00026706,PORTAL AZ US,1948,12,1,694,0,0
GHCND:USC00026706,PORTAL AZ US,1949,1,1,1000,0,0
GHCND:USC00026706,PORTAL AZ US,1949,2,1,323,0,0
GHCND:USC00026706,PORTAL AZ US,1949,3,1,125,0,0
GHCND:USC00026706,PORTAL AZ US,1949,4,1,36,0,0
GHCND:USC00026706,PORTAL AZ US,1949,5,1,10,0,0
GHCND:USC00026706,PORTAL AZ US,1949,6,1,325,0,0
GHCND:USC00026706,PORTAL AZ US,1949,7,1,809,0,0
GHCND:USC00026706,PORTAL AZ US,1949,8,1,803,0,0
GHCND:USC00026706,PORTAL AZ US,1949,9,1,751,0,0
GHCND:USC00026706,PORTAL AZ US,1949,10,1,194,0,0
GHCND:USC00026706,PORTAL AZ US,1949,11,1,10,0,0
GHCND:USC00026706,PORTAL AZ US,1949,12,1,389,0,0
GHCND:USC00026706,PORTAL AZ US,1950,1,1,79,0,0
GHCND:USC00026706,PORTAL AZ US,1950,2,1,104,0,0
GHCND:USC00026706,PORTAL AZ US,1950,3,1,92,0,0
GHCND:USC00026706,PORTAL AZ US,1950,4,1,8,0,0
GHCND:USC00026706,PORTAL AZ US,1950,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1950,6,1,280,0,0
GHCND:USC00026706,PORTAL AZ US,1950,7,1,1350,0,0
GHCND:USC00026706,PORTAL AZ US,1950,8,1,391,0,0
GHCND:USC00026706,PORTAL AZ US,1950,9,1,118,0,0
GHCND:USC00026706,PORTAL AZ US,1950,10,1,173,0,0
GHCND:USC00026706,PORTAL AZ US,1950,11,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1950,12,1,0,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,1,1,356,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,2,1,80,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,3,1,279.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,4,1,479,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,5,1,10,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,6,1,0,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,7,1,522.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,8,1,571.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,9,1,61.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,10,1,422.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,11,1,231.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1951,12,1,483,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,1,1,246.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,2,1,44.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,3,1,601,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,4,1,304,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,5,1,81.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,6,1,702.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,7,1,1021.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,8,1,775.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,9,1,219,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,10,1,0,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1952,11,1,425.5,0,0
