STATION,STATION_NAME,YEAR,Month,Flag,TPCP_10thmm,Missing,Consecutive Missing,
GHCND:USC00027560,SAN SIMON AZ US,1936,3,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,4,1,13,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,7,1,142,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,8,1,305,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,9,1,389,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,10,1,96,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,11,1,169,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1936,12,1,101,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,1,1,160,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,2,1,251,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,3,1,265,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,5,1,104,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,6,1,92,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,7,1,764,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,8,1,366,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,9,1,279,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,10,1,473,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,11,1,46,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1937,12,1,399,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,1,1,112,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,2,1,188,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,3,1,272,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,4,1,10,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,6,1,208,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,7,1,370,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,8,1,289,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,9,1,148,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,10,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,11,1,18,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1938,12,1,269,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,1,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,2,1,231,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,3,1,86,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,4,1,226,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,6,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,7,1,265,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,8,1,390,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,9,1,247,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,10,1,364,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,11,1,422,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1939,12,1,228,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,1,1,58,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,2,1,417,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,3,1,143,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,4,1,80,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,5,1,63,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,6,1,178,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,7,1,132,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,8,1,204,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,9,1,509,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,10,1,226,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,11,1,302,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1940,12,1,326,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,1,1,235,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,2,1,255,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,3,1,246,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,4,1,207,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,5,1,30,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,6,1,13,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,7,1,404,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,8,1,649,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,9,1,551,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,10,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,11,1,292,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1941,12,1,350,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,1,1,124,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,2,1,182,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,3,1,30,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,4,1,54,0,0,
